127.0.0.1 - - [23/Aug/2019:09:12:45 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:12:46 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:12:50 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:41:11 +0530] "GET /InventoryProjectJsp/search.jsp HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:41:19 +0530] "GET /InventoryProjectJsp/SearchInventory.jsp?stockid=S016 HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:41:30 +0530] "GET /InventoryProjectJsp/search.jsp HTTP/1.1" 200 2710
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:46:47 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:46:52 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:47:02 +0530] "GET /InventoryProjectJsp/PlaceOrderInventory.jsp?stockid=S002&qtyord=2 HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:47:06 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:47:07 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2791
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:47:10 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:47:13 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:47:16 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:27 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:34 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:36 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:45 +0530] "GET /InventoryProjectJsp/PlaceOrderInventory.jsp?stockid=S016&quantityorder=5 HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [23/Aug/2019:09:59:49 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2798
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:09:21 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:09:23 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:09:34 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:09:42 +0530] "GET /InventoryProjectJsp/PlaceOrderInventory.jsp?stockid=S005&quantityorder=2 HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:09:44 +0530] "GET /InventoryProjectJsp/PlaceOrderInventory.jsp?stockid=S005&quantityorder=2 HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:09:51 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:09:59 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:10:00 +0530] "GET /InventoryProjectJsp/placeorder.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:10:03 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:21:27 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 500 3420
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:22:54 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 500 2628
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:22:55 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:23:02 +0530] "GET /InventoryProjectJsp/ HTTP/1.1" 500 2628
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:29:25 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:30:05 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:30:06 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [23/Aug/2019:10:30:07 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [23/Aug/2019:11:07:19 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [23/Aug/2019:11:07:19 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [23/Aug/2019:11:07:20 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [23/Aug/2019:11:07:20 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [23/Aug/2019:11:08:16 +0530] "GET /InventoryProjectJsp/menu.jsp HTTP/1.1" 200 2093
